MSOA_code,MSOA_name,LAD_code,LAD_name,year6_measured,year6_obese_count,year6_obese_prop,year6_obese_pct,year6_obese_ci_low_prop,year6_obese_ci_low_pct,year6_obese_ci_high_prop,year6_obese_ci_high_pct,year6_excess_weight_measured,year6_excess_weight_count,year6_excess_weight_prop,year6_excess_weight_pct,year6_excess_weight_ci_low_prop,year6_excess_weight_ci_low_pct,year6_excess_weight_ci_high_prop,year6_excess_weight_ci_high_pct,LAD_code_imd,lsoa_count,population_total_2015,population_children_0_15_2015,population_older_60plus_2015,imd_score_weighted,income_score_weighted,employment_score_weighted,education_score_weighted,health_score_weighted,crime_score_weighted,barriers_score_weighted,living_environment_score_weighted,idaci_score_weighted,idaopi_score_weighted,msoa2011_area_sqm,green_cover_sqm,green_cover_pct,MSOA21CD,MSOA21NM_lookup,bestfit_change_indicator,population_density_per_sqkm,pct_white,pct_asian,pct_black,pct_mixed,pct_other_ethnic,pct_non_white,pct_owned,pct_social_rented,pct_private_rented,pct_unemployed_16plus,pct_economically_inactive_16plus,pct_no_qualifications,pct_level4plus,pct_lone_parent_households,pct_households_with_dependent_children,exactfit_match_count,MSOA21CD_exact,MSOA21NM_exact,exactfit_change_indicator
E02000546,Hounslow 021,E09000018,Hounslow,373,95.0,0.2546916890080429,25.46916890080429,0.2131322985667754,21.31322985667754,0.3012523432592884,30.125234325928847,373,146.0,0.3914209115281501,39.14209115281501,0.3432377503647099,34.32377503647099,0.4418177468369904,44.18177468369905,E09000018,5.0,9797.0,2215.0,1376.0,21.024059405940594,0.1348417883025416,0.0777386955190364,9.069628049402878,-0.2837441053383688,0.3554134939267122,39.09609880575686,25.948956823517403,0.154910158013544,0.2546220930232558,2470149.4708076627,1564236.4190941346,63.32557756444906,E02000546,Hounslow 021,,4238.4,24.5228733096768,59.115757168888464,5.850196604967872,3.2128128896135038,7.298360026853362,75.4771266903232,46.59486854608806,15.394361735825152,36.23693379790941,5.303678357570573,35.8426005132592,20.89442815249267,35.899315738025415,13.761467889908255,43.56216387219234,1,E02000546,Hounslow 021,
E02000547,Hounslow 022,E09000018,Hounslow,302,89.0,0.2947019867549669,29.47019867549669,0.2461206385303465,24.61206385303465,0.348440542029881,34.844054202988104,302,135.0,0.4470198675496689,44.70198675496689,0.3919604444413673,39.19604444413673,0.5034101827999817,50.341018279998174,E09000018,5.0,9922.0,2124.0,1769.0,20.50548810723644,0.1241546059262245,0.0756901834307599,22.997494355976617,-0.2768546663979037,0.0893207014714775,33.06712174964724,27.00749425519048,0.1600809792843691,0.1762685132843414,3261809.30879776,1636122.5331064288,50.15996884592472,E02000547,Hounslow 022,,3369.3,45.32812215960734,36.57516815124523,8.334848209416469,3.9810943464824575,5.7807671332485,54.67187784039266,49.84423676012461,23.883696780893043,24.5067497403946,4.966427413753183,36.26996990043992,24.736781210227928,30.637510123799604,14.667705088265835,37.90238836967809,1,E02000547,Hounslow 022,
E02000548,Hounslow 023,E09000018,Hounslow,293,75.0,0.2559726962457337,25.59726962457337,0.2093851632506211,20.93851632506211,0.308876198999392,30.887619899939207,293,108.0,0.3686006825938566,36.86006825938566,0.315394566787356,31.539456678735604,0.4252077051934202,42.52077051934203,E09000018,5.0,9654.0,2227.0,1542.0,27.051314066708105,0.1623008079552517,0.1037300600787238,30.633252227056143,-0.0382892065465092,0.0912859954423037,38.55254205510669,25.112060078723847,0.2230264930399641,0.2003722438391699,3533336.539565391,1951022.3329873136,55.21756309200296,E02000548,Hounslow 023,,2997.3,53.42724780183416,28.023068923135103,9.482840124799091,4.055970502032713,5.010872648198922,46.57275219816584,38.459473966720346,33.19914117015566,20.853462157809982,4.974144299433637,34.412706229992615,23.41499446017481,29.028683983749847,14.876476906552094,37.67454350161117,1,E02000548,Hounslow 023,
E02000549,Hounslow 024,E09000018,Hounslow,331,79.0,0.2386706948640483,23.867069486404837,0.1959127309467212,19.591273094672125,0.2874248443663746,28.74248443663746,331,126.0,0.3806646525679758,38.06646525679759,0.3300086007648826,33.00086007648826,0.4340588469214444,43.40588469214444,E09000018,6.0,11394.0,2374.0,2085.0,22.363031332280148,0.1319970159733192,0.0847587326663156,20.471656485869755,0.076672634720028,0.3890275583640512,30.056747586449006,28.011748200807443,0.1734098567818028,0.1828896882494004,2457357.3488948317,1105137.8470828934,44.97261448685583,E02000549,Hounslow 024,,5106.5,48.52812126047069,34.894295971280414,5.432788193059434,4.276027124052653,6.868767451136818,51.47187873952932,57.2584600294262,18.097106424718,23.19764590485532,5.033125679818056,34.26283002076535,22.98714144411474,32.56181998021761,13.054126867499388,36.958119030124905,1,E02000549,Hounslow 024,
E02000550,Hounslow 025,E09000018,Hounslow,382,89.0,0.2329842931937172,23.298429319371728,0.1933787805131352,19.337878051313524,0.277906652048943,27.7906652048943,382,157.0,0.4109947643979058,41.09947643979058,0.3627797055660649,36.27797055660649,0.4609821052879611,46.09821052879612,E09000018,6.0,10761.0,2743.0,1156.0,26.45205352662392,0.1546482668896942,0.0941013846296812,28.786234364835984,0.0156678747328315,0.4135533872316699,35.71057392435647,29.149002230276,0.2046886620488516,0.234674740484429,939806.6443705454,213508.5326572048,22.718346793579705,E02000550,Hounslow 025,,11335.4,49.836647064314384,31.186409035750955,9.446466909362456,3.9951460841967705,5.535330906375432,50.163352935685616,38.6498117267348,32.9747175901022,24.79827864443249,5.83373845405931,30.91881380651434,21.6456003889159,35.257656781720954,16.921837228041902,43.11039484286866,1,E02000550,Hounslow 025,
E02000551,Hounslow 026,E09000018,Hounslow,339,97.0,0.2861356932153392,28.613569321533923,0.2406315638542444,24.06315638542444,0.3364324222261703,33.64324222261704,339,157.0,0.4631268436578171,46.312684365781706,0.4107562112582028,41.07562112582029,0.5163237863418687,51.63237863418687,E09000018,5.0,8956.0,2238.0,1270.0,31.84457972309067,0.2123059401518535,0.1233626619026351,29.96455415364002,0.114213934792318,0.3951073023671282,39.328791871371145,25.823084412684235,0.2797113494191243,0.2705661417322835,2127353.9590135003,1065197.0697420633,50.07145450473216,E02000551,Hounslow 026,,4578.4,54.059872872667626,25.445970883740003,10.221447611236416,4.582735288086939,5.689973344269018,45.94012712733237,36.69106881405564,43.13323572474378,17.71595900439239,5.7366011311607865,36.06248316725021,24.50518378887842,28.31560522418204,19.028103044496486,40.16393442622951,1,E02000551,Hounslow 026,
E02000552,Hounslow 027,E09000018,Hounslow,245,72.0,0.2938775510204082,29.38775510204082,0.2403710120911406,24.037101209114063,0.353748068874476,35.374806887447605,245,103.0,0.4204081632653061,42.04081632653061,0.360293069229062,36.02930692290621,0.4829806353022156,48.29806353022156,E09000018,5.0,8457.0,2024.0,1108.0,17.81200153718813,0.1060358283079106,0.0604295849592053,16.676274920184465,-0.2209697292183989,-0.1616914981671987,36.42028840014189,23.71166926806196,0.1579580039525691,0.1506696750902527,3058497.844277756,1830597.6858984632,59.85283557820349,E02000552,Hounslow 027,,3025.4,58.22716475923127,23.2131289138415,7.806089397538328,6.499676095875621,4.25394083351328,41.772835240768735,56.96428571428571,11.517857142857142,28.18452380952381,4.938099874808736,31.11698428154124,18.556127416886916,33.57907914869941,13.557806912991657,39.63051251489869,1,E02000552,Hounslow 027,
E02000553,Hounslow 028,E09000018,Hounslow,200,46.0,0.23,23.0,0.177093432590688,17.709343259068806,0.2930830436530359,29.308304365303588,200,75.0,0.375,37.5,0.3108543685840982,31.085436858409825,0.4438569630102184,44.385696301021845,E09000018,4.0,6852.0,1480.0,1265.0,21.705608289550497,0.1272387624051371,0.0880782253356684,21.642764740221832,-0.2325309398715703,0.4740957384705196,31.629089900758903,22.405122883829534,0.1859668918918919,0.1456671936758893,2534453.914261558,1552426.3082979326,61.25289158198206,E02000553,Hounslow 028,,2821.2,61.06269328085465,19.49676693843126,7.913972448692719,4.835535563677256,6.691031768344111,38.93730671914535,59.71527510580993,21.16198537899192,16.891111966140823,4.824959187375295,35.44349718846363,21.019223793978963,32.19078708741386,14.544055405925354,37.5913813005002,1,E02000553,Hounslow 028,
E02000554,Islington 001,E09000019,Islington,241,60.0,0.2489626556016597,24.896265560165972,0.1985952104979232,19.85952104979232,0.3072074399894173,30.720743998941728,241,94.0,0.3900414937759336,39.004149377593365,0.3306465702686653,33.064657026866534,0.4528868220935582,45.28868220935582,E09000019,6.0,9874.0,1968.0,1217.0,36.66239345756532,0.2543518330970225,0.1829862264533117,15.009608264128014,0.6883170954020661,0.7473250962122746,27.793469110796032,27.833845756532316,0.3073617886178861,0.4163755135579293,635502.6392711418,231514.51030796528,36.43014143473729,E02000554,Islington 001,,14685.3,56.42368533561351,7.513894826849081,19.281744335185977,8.1124412141941,8.668234288157333,43.576314664386494,23.38095238095238,51.73809523809524,23.166666666666664,5.566470203012443,35.062213490504256,16.998428496595075,48.795180722891565,18.441744102930667,26.399809387657854,1,E02000554,Islington 001,
E02000555,Islington 002,E09000019,Islington,227,37.0,0.1629955947136563,16.299559471365637,0.1206270059347369,12.062700593473698,0.2165804403288798,21.658044032887982,227,78.0,0.3436123348017621,34.36123348017621,0.2848954902914087,28.48954902914087,0.4075341089551063,40.75341089551063,E09000019,6.0,9722.0,1762.0,1345.0,26.46300452581773,0.1901186998559967,0.1148122814235753,13.054412157992182,0.3178611396831927,0.554570355893849,26.69634653363505,27.06285712816293,0.271522133938706,0.3145137546468401,597329.688996626,158707.3665687811,26.56947570032428,E02000555,Islington 002,,16056.0,63.74464528262459,7.710793020583011,13.91704106154007,6.927175843694494,7.700344791557831,36.25535471737541,33.87896825396825,36.92956349206349,27.10813492063492,5.522781473578512,32.76013555918163,14.646084337349397,55.53463855421686,15.16728624535316,24.80793060718711,1,E02000555,Islington 002,
